pedido_id,restaurante_id,nome_estabelecimento,categoria,item_principal,qtd_itens,preco_item,desconto,preco_pedido,distancia_km,taxa_entrega,tempo_entrega_min,nota_cliente
P0001,R001,Armazém da Coxinha Clandestino,Doces,bolo de pote,1,41.69,0,41.69,7.31,5.88,61,3.3
P0002,R001,Armazém da Coxinha Clandestino,Doces,bolo de pote,1,54.88,0,57.88,8.19,5.05,58,3.7
P0003,R001,Armazém da Coxinha Clandestino,Doces,cookie,2,37.06,5,69.12,4.99,5.04,36,3.2
P0004,R001,Armazém da Coxinha Clandestino,Doces,bolo de pote,1,42.93,5,41.93,6.07,4.86,50,3.8
P0005,R001,Armazém da Coxinha Clandestino,Doces,pudim,3,55.68,0,169.04,7.18,4.75,67,3.4
P0006,R001,Armazém da Coxinha Clandestino,Doces,bolo de pote,2,37.62,3,72.24,8.89,4.98,44,3.9
P0007,R001,Armazém da Coxinha Clandestino,Doces,cookie,5,50.67,3,250.35,6.23,4.77,43,3.3
P0008,R001,Armazém da Coxinha Clandestino,Doces,cookie,1,58.62,0,62.62,3.83,5.1,40,3.6
P0009,R001,Armazém da Coxinha Clandestino,Doces,brigadeiro,4,56.44,5,220.76,7.73,4.86,57,3.6
P0010,R001,Armazém da Coxinha Clandestino,Doces,bolo de pote,2,41.78,3,82.06,6.35,4.21,52,2.5
P0011,R001,Armazém da Coxinha Clandestino,Doces,pudim,1,37.27,5,32.27,7.91,4.12,56,3.0
P0012,R002,Armazém da Neblina Elétrico,Pizza,fatia de calabresa,2,31.97,0,63.94,6.16,8.28,54,3.3
P0013,R002,Armazém da Neblina Elétrico,Pizza,fatia marguerita,1,34.11,0,34.11,3.47,3.46,47,4.0
P0014,R002,Armazém da Neblina Elétrico,Pizza,fatia de calabresa,1,51.59,2,51.09,4.45,4.96,46,3.8
P0015,R002,Armazém da Neblina Elétrico,Pizza,pizza média,3,31.88,0,97.64,2.79,5.09,29,2.2
P0016,R002,Armazém da Neblina Elétrico,Pizza,fatia de calabresa,3,43.54,0,132.12,3.21,5.71,32,4.6
P0017,R002,Armazém da Neblina Elétrico,Pizza,pizza média,2,42.06,0,87.12,3.58,6.75,39,3.9
P0018,R002,Armazém da Neblina Elétrico,Pizza,pizza média,2,44.05,0,88.1,1.13,2.72,32,4.5
P0019,R002,Armazém da Neblina Elétrico,Pizza,pizza média,1,52.27,2,50.27,4.18,6.91,47,4.1
P0020,R002,Armazém da Neblina Elétrico,Pizza,pizza média,1,35.72,0,35.72,5.69,5.64,47,3.5
